Entry Date,Exit Date,Entry Price,Exit Price,Return,Outcome,Equity
2024-02-02,2024-02-26,429.01,436.55,0.017575347893988534,Timed out,1.0175753478939886
2024-02-29,2024-03-21,439.0,445.87,0.015649202733485204,Timed out,1.0334995908097784
2024-03-22,2024-04-15,446.38,431.06,-0.03432053407410725,Timed out,0.9980293328878155
2024-05-15,2024-06-06,452.9,463.37,0.023117686023404787,Timed out,1.0211014616476641
2024-06-10,2024-07-02,464.83,486.98,0.047651829701181155,Timed out,1.0697588146057257
2024-07-03,2024-07-17,491.04,481.77,-0.01887829912023468,Stop Hit,1.0495635877170912
2024-09-19,2024-10-10,483.36,492.59,0.01909549817941071,Timed out,1.0696055272955187
2024-10-11,2024-11-01,493.36,487.43,-0.012019620561050768,Timed out,1.0567492747074239
2024-11-06,2024-11-27,505.58,505.3,-0.0005538193757663925,Timed out,1.0561640264837637
2024-12-02,2024-12-18,515.29,516.47,0.002289972636767769,Stop Hit,1.05858261320435
2025-02-18,2025-02-25,539.37,513.32,-0.048297087342640405,Stop Hit,1.007456156275019
2025-05-12,2025-06-03,507.85,527.3,0.03829871024908916,Timed out,1.0460404276928572
2025-06-04,2025-06-26,528.77,546.22,0.033001115797038495,Timed out,1.080560928975533
2025-06-27,2025-07-21,548.09,564.17,0.029338247368132838,Timed out,1.1122626928061563
2025-07-24,2025-08-01,565.01,553.88,-0.01969876639351515,Stop Hit,1.0903524898523456
2025-08-07,2025-08-28,569.24,577.08,0.013772749631087119,Timed out,1.1053696417047143
2025-09-09,2025-09-30,580.51,600.37,0.0342112969630153,Timed out,1.143185770770976
2025-10-01,2025-10-10,603.25,589.5,-0.022793203481143803,Stop Hit,1.117128904881045
2025-10-20,2025-11-10,611.54,623.23,0.01911567518069146,Timed out,1.1384835781617129
2026-01-27,2026-02-04,631.13,605.75,-0.04021358515678227,Stop Hit,1.0927010718417085
