Entry Date,Exit Date,Entry Price,Exit Price,Return,Outcome,Equity
2024-03-06,2024-03-27,106.77,114.97,0.07680059941931257,Timed out,1.0768005994193126
2024-03-28,2024-04-19,116.24,119.88,0.031314521679284245,Timed out,1.110520095134095
2024-07-18,2024-08-08,118.8,117.89,-0.0076599326599326315,Timed out,1.102013585987866
2024-08-09,2024-08-30,118.85,117.94,-0.00765671013883043,Timed out,1.0935757873909038
2024-10-01,2024-10-22,119.93,120.7,0.006420411906945685,Timed out,1.1005969943974159
2025-03-19,2025-04-03,115.41,112.43,-0.025820986049735636,Stop Hit,1.0721784947586992
2025-06-13,2025-06-30,112.12,107.8,-0.038530146271851654,Stop Hit,1.0308673005261126
2025-07-10,2025-07-18,114.93,107.77,-0.06229879056817202,Stop Hit,0.9666455144670595
2025-09-17,2025-10-02,115.29,111.29,-0.03469511666232977,Stop Hit,0.9331076355715071
2025-11-10,2025-12-02,118.22,115.38,-0.02402300795127731,Timed out,0.9106915834227752
2025-12-29,2026-01-07,120.53,118.49,-0.01692524682651627,Stop Hit,0.8952779035905138
2026-01-13,2026-01-27,126.54,136.83,0.08131816026552874,Target Hit,0.9680802556368739
2026-01-28,2026-02-06,137.58,149.05,0.08336967582497455,Target Hit,1.0487887927218784
2026-02-09,2026-03-03,151.21,151.83,0.004100257919449801,Timed out,1.0530890972750664
2026-03-13,2026-03-27,156.12,170.99,0.09524724570842943,Target Hit,1.1533929332760928
2026-03-30,2026-04-08,171.47,156.22,-0.08893684026360296,Stop Hit,1.0508138102081486
